Name,Score,Genders,Type,Source,Popularity,Favorites
Shakugan no Shana Movie,7.39,"Action, Supernatural, Fantasy",Movie,Light novel,2082,66
Sonic X,6.46,"Sci-Fi, Adventure, Comedy, Kids, Mecha, Shounen",TV,Game,2092,458
DearS: Kin no Tama Desu no?,6.85,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",Special,Manga,3364,15
Claymore,7.78,"Action, Adventure, Super Power, Demons, Supernatural, Fantasy, Shounen",TV,Manga,208,8176
Daimajuu Gekitou: Hagane no Oni,5.28,"Mecha, Horror, Sci-Fi",OVA,Unknown,8601,3
Power Dolls,5.46,"Action, Adventure, Mecha, Sci-Fi",OVA,Game,9196,1
Guren,6.18,"Harem, Hentai",OVA,Visual novel,6569,16
The Hakkenden,6.61,"Action, Adventure, Historical, Demons, Martial Arts, Samurai, Shounen",OVA,Novel,5649,13
Shin Hakkenden,7.17,"Action, Adventure, Martial Arts, Sci-Fi",TV,Unknown,6479,20
Hadashi no Gen,7.79,"Drama, Historical",Movie,Manga,2693,119
Hadashi no Gen 2,7.37,"Drama, Historical, Shounen",Movie,Manga,5077,11
Deltora Quest,7.04,"Adventure, Kids, Fantasy",TV,Book,3445,139
Seirei no Moribito,8.17,"Action, Adventure, Historical, Fantasy",TV,Novel,845,2552
Catblue: Dynamite,6.06,"Action, Fantasy",ONA,Unknown,9199,1
Ged Senki,6.95,"Adventure, Magic, Fantasy",Movie,Novel,1317,189
Utawarerumono Specials,7.62,"Action, Fantasy, Comedy, Drama",Special,Unknown,4276,9
Iczer-Girl Iczelion,5.64,"Action, Adventure, Sci-Fi",OVA,Original,8538,3
Meiou Project Zeorymer,6.18,"Action, Sci-Fi, Psychological, Drama, Mecha",OVA,Manga,6733,21
Hyper-Psychic Geo Garaga,5.18,"Action, Sci-Fi, Adventure",Movie,Manga,9926,3
Dragon Knight 4,5.75,"Adventure, Fantasy, Hentai, Magic",OVA,Visual novel,8238,5
Ryuusei no Rockman,7.11,"Action, Game, Sci-Fi, Shounen",TV,Game,4741,82
Shuffle! Memories,6.54,"Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School, Seinen",TV,Visual novel,2303,61
Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida,6.81,"Action, Sci-Fi, Adventure, Comedy, Parody, Shounen",TV,Light novel,6463,15
Mitsu x Mitsu Drops,5.98,"Drama, Romance, School, Shoujo",OVA,Manga,3410,92
Jagainu-kun,6.44,"Adventure, Fantasy, Kids, Shoujo, Slice of Life",TV,Unknown,9900,5
Zero no Tsukaima: Futatsuki no Kishi,7.49,"Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School",TV,Light novel,319,1365
Dai Mahou Touge Omake,6.85,Comedy,Special,Manga,5604,2
Major S3,8.27,"Drama, Shounen, Sports",TV,Manga,2093,358
Yomigaeru Sora: Rescue Wings - Saigo no Shigoto,6.96,"Military, Drama, Seinen",Special,Original,8062,2
Clamp Gakuen Tanteidan,6.91,"Action, Mystery, Comedy, Shoujo",TV,Manga,4648,27
Gaiking: Legend of Daiku-Maryu,7.13,"Action, Mecha, Sci-Fi",TV,Unknown,7117,15
Princess Nine: Kisaragi Joshikou Yakyuubu,7.15,"Sports, Romance, Drama",TV,Original,4988,46
Rec: Yurusarezarumono,7.16,"Comedy, Drama, Romance, Seinen",Special,Manga,3507,4
Haou Taikei Ryuu Knight,6.6,"Action, Adventure, Fantasy, Mecha",TV,Manga,8231,5
Haou Taikei Ryuu Knight: Adeu Legend,6.31,"Action, Adventure, Fantasy, Mecha",OVA,Unknown,10366,0
Haou Daikei Ryuu Knight: Adeu Legend II,6.04,"Action, Adventure, Fantasy, Mecha",OVA,Unknown,11274,0
Haou Daikei Ryuu Knight: Adeu Legend Final,6.07,"Parody, Adventure, Fantasy, Comedy, Mecha",OVA,Unknown,11357,0
Hidamari Sketch,7.45,"Comedy, School, Seinen, Slice of Life",TV,4-koma manga,1872,924
Cutey Honey F,6.57,"Action, Adventure, Comedy, Magic, Romance, Sci-Fi, Shoujo",TV,Unknown,5512,21
Rockman Hoshi ni Negai wo,6.45,"Action, Sci-Fi, Adventure",OVA,Game,7632,8
JaJa Uma! Quartet,5.13,"Adventure, Comedy, Fantasy, Magic, Shounen",OVA,Manga,9748,0
Kimi ga Nozomu Eien: Ayu Mayu Gekijou,6.22,Comedy,ONA,Visual novel,6106,5
Taiyou no Mokushiroku: A Spirit of the Sun,6.91,"Drama, Sci-Fi",Special,Manga,8203,3
Gakuen Utopia Manabi Straight!,7.28,"Slice of Life, Comedy, School",TV,Original,3162,104
Grappler Baki,6.8,"Action, Sports, Martial Arts, Shounen",OVA,Manga,4723,29
